,term,score
0,疫情,0.35549218772753566
1,留学生,0.23890764173415205
2,世卫,0.1858170546821183
3,华,0.1858170546821183
4,非洲,0.17754111587422852
5,抗疫,0.1628982879997048
6,外国,0.15927176115610137
7,你们,0.14479847822195982
8,公共卫生,0.12669866844421485
9,帮助,0.12304777027409297
10,提供,0.10527614787644765
11,深造,0.10497233182286642
12,北京科技大学,0.10497233182286642
13,留学,0.10497233182286642
14,优秀青年,0.10497233182286642
15,多同,0.10497233182286642
16,巴基斯坦,0.10497233182286642
17,青年,0.0999882656378331
18,生命,0.0999882656378331
19,新冠,0.09953781256370998
20,共同体,0.09228582770556973
21,物资,0.0904990488887249
22,回信,0.08642000893131148
23,肺炎,0.08531812505460855
24,防控,0.08332355469819423
25,感受,0.07963588057805068
26,主席,0.07895711090733573
27,一道,0.07690485642130811
28,关心,0.07690485642130811
29,身体健康,0.07239923911097991
30,生命安全,0.07239923911097991
31,医疗,0.07239923911097991
32,民心,0.0714793650976006
33,来华,0.0714793650976006
34,相通,0.0714793650976006
35,大家,0.07109843754550713
36,命运,0.07109843754550713
37,患难见真情,0.06998155454857762
38,多向,0.06998155454857762
39,学到,0.06998155454857762
40,佑护,0.06998155454857762
41,结识,0.06998155454857762
42,讲讲,0.06998155454857762
43,中国政府,0.0666588437585554
44,抗击,0.0666588437585554
45,交流,0.0666588437585554
46,先生,0.0666588437585554
47,后,0.06579759242277979
48,贡献力量,0.06481500669848361
49,欢迎,0.06481500669848361
50,至上,0.06481500669848361
51,救治,0.06481500669848361
52,始终,0.061523885137046486
53,各种,0.061523885137046486
54,了解,0.061523885137046486
55,鼓劲,0.06010097196219957
56,感到高兴,0.06010097196219957
57,尽力,0.06010097196219957
58,所,0.056878750036405704
59,他们,0.056878750036405704
60,信息,0.05429942933323493
61,学校,0.05429942933323493
62,恢复,0.05429942933323493
63,发展中国家,0.05429942933323493
64,疫苗,0.05429942933323493
65,态度,0.05309058705203379
66,加油,0.05309058705203379
67,一视同仁,0.05309058705203379
68,总干事,0.05309058705203379
69,突发事件,0.05309058705203379
70,正如,0.05309058705203379
71,不管,0.05309058705203379
72,特别,0.052638073938223826
73,并,0.052638073938223826
74,人,0.052638073938223826
75,月,0.0487370300861609
76,呼吁,0.04765291006506707
77,得知,0.04765291006506707
78,携手,0.046142913852784864
79,既,0.046142913852784864
80,学习,0.046142913852784864
81,建立,0.046142913852784864
82,医疗队,0.04321000446565574
83,多个,0.04321000446565574
84,传播,0.04321000446565574
85,开展,0.042659062527304274
86,经验,0.042659062527304274
87,取得,0.042659062527304274
88,继续,0.042659062527304274
89,多,0.042659062527304274
90,以来,0.039478555453667866
91,日电,0.039478555453667866
92,表示,0.039478555453667866
93,努力,0.039478555453667866
94,需要,0.039478555453667866
95,负责,0.03945358130538412
96,专业,0.03945358130538412
97,检测,0.03945358130538412
98,疾病,0.03945358130538412
99,朋友,0.03945358130538412
100,予以,0.03945358130538412
101,分享,0.03945358130538412
102,期间,0.03945358130538412
103,人员,0.03945358130538412
104,大量,0.03945358130538412
105,爱护,0.03945358130538412
106,北京,0.036552772564620674
107,加大,0.036552772564620674
108,促进,0.036552772564620674
109,有力,0.036552772564620674
110,新华社,0.036552772564620674
111,不足,0.036199619555489955
112,知识,0.036199619555489955
113,应急,0.036199619555489955
114,看到,0.036199619555489955
115,全方位,0.036199619555489955
116,硕士,0.03499077727428881
117,起同,0.03499077727428881
118,派往,0.03499077727428881
119,向世卫,0.03499077727428881
120,余万,0.03499077727428881
121,非盟,0.03499077727428881
122,清关,0.03499077727428881
123,表示感谢,0.03499077727428881
124,博士,0.03499077727428881
125,谨向,0.03499077727428881
126,仓库,0.03499077727428881
127,偿付,0.03499077727428881
128,种族,0.03499077727428881
129,遵照,0.03499077727428881
130,中巴,0.03499077727428881
131,亿多人次,0.03499077727428881
132,研究生,0.03499077727428881
133,学成,0.03499077727428881
134,担负,0.03499077727428881
135,常驻,0.03499077727428881
136,以民为本,0.03499077727428881
137,艾滋病,0.03499077727428881
138,交付,0.03499077727428881
139,弥补,0.03499077727428881
140,成绩,0.0333294218792777
141,病毒,0.0333294218792777
142,大会,0.0333294218792777
143,研发,0.0333294218792777
144,全体,0.0333294218792777
145,蔓延,0.0333294218792777
146,援助,0.0333294218792777
147,丰富,0.0333294218792777
148,所有,0.030761942568523243
149,正在,0.030761942568523243
150,建议,0.030761942568523243
151,还是,0.030761942568523243
152,已,0.030761942568523243
153,方式,0.030761942568523243
154,发生,0.030761942568523243
155,很多,0.030761942568523243
156,健康,0.030761942568523243
157,供应链,0.030761942568523243
158,经历,0.030761942568523243
159,需,0.030050485981099787
160,暂缓,0.030050485981099787
161,hn,0.030050485981099787
162,携起手来,0.030050485981099787
163,博拉,0.030050485981099787
164,人间,0.030050485981099787
165,同二,0.030050485981099787
166,资金投入,0.030050485981099787
167,客观,0.030050485981099787
168,埃,0.030050485981099787
169,夺走,0.030050485981099787
170,赞赏,0.030050485981099787
171,一部,0.030050485981099787
172,流感,0.030050485981099787
173,枢纽,0.030050485981099787
174,甲型,0.030050485981099787
175,及性,0.030050485981099787
176,阻止,0.030050485981099787
177,响应速度,0.030050485981099787
178,禽流感,0.030050485981099787
179,罹难者,0.030050485981099787
180,中非,0.030050485981099787
181,国界,0.030050485981099787
182,维护,0.028439375018202852
183,不少,0.028439375018202852
184,经济社会,0.028439375018202852
185,这是,0.028439375018202852
186,现在,0.028439375018202852
187,影响,0.028439375018202852
188,希望,0.028439375018202852
189,战胜,0.028439375018202852
190,科学,0.028439375018202852
191,地区,0.028439375018202852
192,个,0.028439375018202852
193,可,0.028439375018202852
194,德塞,0.026545293526016894
195,斗争史,0.026545293526016894
196,防护,0.026545293526016894
197,文明史,0.026545293526016894
198,大爱,0.026545293526016894
199,人为,0.026545293526016894
200,退缩,0.026545293526016894
201,有益,0.026545293526016894
202,复学,0.026545293526016894
203,病毒基因,0.026545293526016894
204,追踪,0.026545293526016894
205,局势,0.026545293526016894
206,中华人民共和国,0.026545293526016894
207,两年,0.026545293526016894
208,哀悼,0.026545293526016894
209,绿色通道,0.026545293526016894
210,多亿,0.026545293526016894
211,前提,0.026545293526016894
212,运输,0.026545293526016894
213,当务之急,0.026545293526016894
214,本着,0.026545293526016894
215,表示慰问,0.026545293526016894
216,来势汹汹,0.026545293526016894
217,总部,0.026545293526016894
218,支,0.026545293526016894
219,来说,0.026545293526016894
220,作贡献,0.026545293526016894
221,收悉,0.026545293526016894
222,用于,0.026545293526016894
223,这项,0.026545293526016894
224,疫病,0.026545293526016894
225,灾难,0.026545293526016894
226,第二次世界大战,0.026545293526016894
227,波及,0.026545293526016894
228,调配,0.026545293526016894
229,友谊,0.026545293526016894
230,宏观经济,0.026545293526016894
231,谭,0.026545293526016894
232,科学研究,0.026545293526016894
233,科学家,0.026545293526016894
234,讲述,0.026545293526016894
235,没有,0.026319036969111913
236,下,0.026319036969111913
237,通过,0.026319036969111913
238,这次,0.026319036969111913
239,给,0.026319036969111913
240,发展,0.02436851504308045
241,治理,0.02436851504308045
242,版,0.02436851504308045
243,建设,0.02436851504308045
244,第一,0.02436851504308045
245,人民日报,0.02436851504308045
246,当前,0.02436851504308045
247,总结经验,0.023826455032533535
248,毫无保留,0.023826455032533535
249,重中之重,0.023826455032533535
250,助力,0.023826455032533535
251,终将,0.023826455032533535
252,人道主义,0.023826455032533535
253,本国,0.023826455032533535
254,勇敢,0.023826455032533535
255,武器,0.023826455032533535
256,尽己,0.023826455032533535
257,愿望,0.023826455032533535
258,人间正道,0.023826455032533535
259,近日,0.023826455032533535
260,挽救,0.023826455032533535
261,防线,0.023826455032533535
262,另发,0.023826455032533535
263,跨境,0.023826455032533535
264,汇聚,0.023826455032533535
265,两,0.023826455032533535
266,序列,0.023826455032533535
267,源头,0.023826455032533535
268,十国集团,0.023826455032533535
269,人力,0.023826455032533535
270,家属,0.023826455032533535
271,磅礴,0.023826455032533535
272,所能,0.023826455032533535
273,临床,0.023826455032533535
274,搞好,0.023826455032533535
275,中说,0.023826455032533535
276,扭转,0.023826455032533535
277,全文,0.023826455032533535
278,代价,0.023826455032533535
279,暴露,0.023826455032533535
280,隔离,0.023826455032533535
281,你们好,0.023826455032533535
282,设立,0.023826455032533535
283,及,0.023826455032533535
284,疾控中心,0.023826455032533535
285,写信,0.023826455032533535
286,专家组,0.02160500223282787
287,公正,0.02160500223282787
288,不幸,0.02160500223282787
289,医院,0.02160500223282787
290,筑牢,0.02160500223282787
291,发布,0.02160500223282787
292,一带,0.02160500223282787
293,现有,0.02160500223282787
294,投入使用,0.02160500223282787
295,储备,0.02160500223282787
296,途径,0.02160500223282787
297,通报,0.02160500223282787
298,风雨同舟,0.02160500223282787
299,地球,0.02160500223282787
300,认为,0.02160500223282787
301,增进,0.02160500223282787
302,重大贡献,0.02160500223282787
303,家园,0.02160500223282787
304,主导,0.02160500223282787
305,之力,0.02160500223282787
306,我愿,0.02160500223282787
307,秉持,0.02160500223282787
308,结束,0.02160500223282787
309,评估,0.02160500223282787
310,受,0.02160500223282787
311,亿美元,0.02160500223282787
312,对口,0.02160500223282787
313,以下,0.02160500223282787
314,各方,0.02160500223282787
315,任,0.02160500223282787
316,事件,0.01972679065269206
317,债务,0.01972679065269206
318,遏制,0.01972679065269206
319,药物,0.01972679065269206
320,方法,0.01972679065269206
321,前行,0.01972679065269206
322,高度,0.01972679065269206
323,阻击战,0.01972679065269206
324,团结合作,0.01972679065269206
325,举行,0.01972679065269206
326,艰苦卓绝,0.01972679065269206
327,关键时刻,0.01972679065269206
328,专门,0.01972679065269206
329,薄弱,0.01972679065269206
330,给予,0.01972679065269206
331,突发,0.01972679065269206
332,态势,0.01972679065269206
333,当地,0.01972679065269206
334,尽快,0.01972679065269206
335,联合国,0.01972679065269206
336,防疫,0.01972679065269206
337,尽责,0.01972679065269206
338,来信,0.01972679065269206
339,表达,0.01972679065269206
340,有序,0.01972679065269206
341,此,0.01972679065269206
342,卫生,0.01972679065269206
343,暴发,0.01972679065269206
344,全力,0.01972679065269206
345,投身,0.01972679065269206
346,公共,0.01972679065269206
347,处于,0.01972679065269206
348,对此,0.01972679065269206
349,过去,0.018099809777744977
350,倡议,0.018099809777744977
351,首先,0.018099809777744977
352,不会,0.018099809777744977
353,派出,0.018099809777744977
354,之后,0.018099809777744977
355,复工,0.018099809777744977
356,复产,0.018099809777744977
357,产品,0.018099809777744977
358,控制,0.018099809777744977
359,带领,0.018099809777744977
360,突如其来,0.018099809777744977
361,意义,0.018099809777744977
362,贫困,0.018099809777744977
363,性,0.018099809777744977
364,调动,0.018099809777744977
365,愿同,0.018099809777744977
366,一次,0.018099809777744977
367,守望相助,0.018099809777744977
368,世界卫生组织,0.018099809777744977
369,展现,0.018099809777744977
370,透明,0.018099809777744977
371,付出,0.018099809777744977
372,一路,0.018099809777744977
