,term,score
0,发展,0.24984781286908908
1,企业家,0.247795106905623
2,少先队,0.23106366720236401
3,组织路线,0.23106366720236401
4,投行,0.19457993027567497
5,亚,0.1824186846334453
6,毕业生,0.16710750438942315
7,企业,0.1603723477226944
8,经济,0.15093098600806076
9,建设,0.1482148042443749
10,市场,0.12742215234348575
11,市场主体,0.12014308213605965
12,干部,0.11583832031225975
13,广大,0.10065108576894796
14,高校,0.09937225577910037
15,少先队员,0.09728996513783748
16,正确,0.082598368968541
17,疫情,0.07907414523471967
18,个体,0.07310953317037262
19,工商户,0.07310953317037262
20,成为,0.06950299218735587
21,党组织,0.06856159409654174
22,条例,0.06624817051940025
23,基础设施,0.06624817051940025
24,大家,0.06424774300320973
25,提供,0.06403132739735912
26,以来,0.06403132739735912
27,立志,0.06080622821114843
28,代表,0.059305608926039755
29,马克思主义,0.05796714920447522
30,成员,0.05791916015612988
31,复兴,0.05661623574503323
32,政治,0.0548839949120221
33,多,0.054363474848869775
34,基层,0.05345744924089813
35,各,0.05345744924089813
36,人才,0.05256259843452609
37,执行,0.05256259843452609
38,地方党委,0.05222109512169473
39,诚信,0.05222109512169473
40,无产阶级,0.05222109512169473
41,使,0.0521272441405169
42,思想,0.0521272441405169
43,理论,0.05032554288447398
44,你们,0.05032554288447398
45,爱国,0.04968612788955019
46,党组,0.04968612788955019
47,全党,0.04968612788955019
48,希望,0.0494213407716998
49,提出,0.0494213407716998
50,基层工作,0.04864498256891874
51,同学,0.04864498256891874
52,政治路线,0.04864498256891874
53,少年儿童,0.04864498256891874
54,共产主义,0.04864498256891874
55,各级,0.04811170431680832
56,更好,0.04799311586757922
57,强调,0.04633532812490391
58,中央,0.04633532812490391
59,党内,0.046129846256972334
60,成事,0.046129846256972334
61,现代化,0.045053655801022365
62,政党,0.045053655801022365
63,实践,0.044479206694529816
64,新冠,0.044479206694529816
65,肺炎,0.044479206694529816
66,总书记,0.044479206694529816
67,坚强,0.04403485002391474
68,各级党委,0.0427659593927185
69,完善,0.0427659593927185
70,特色,0.0427659593927185
71,事业,0.0427659593927185
72,保护,0.0427659593927185
73,责任,0.0427659593927185
74,北京,0.04234708692696425
75,梦,0.04140510657462516
76,主席,0.04116299618401657
77,贯彻落实,0.04113695645792504
78,多边,0.04113695645792504
79,保证,0.04113695645792504
80,党的领导,0.04054341210929092
81,政府,0.04054341210929092
82,作用,0.039537072617359836
83,召开,0.039537072617359836
84,形成,0.039537072617359836
85,月,0.03811237823426782
86,说,0.03774415716335548
87,开放,0.03774415716335548
88,充分发挥,0.03774415716335548
89,带领,0.03774415716335548
90,全球化,0.03754471316751864
91,越来越,0.03754471316751864
92,团结,0.03742021446862869
93,就业,0.03742021446862869
94,员工,0.03690387700557787
95,亚洲,0.03690387700557787
96,贺信,0.03690387700557787
97,武装,0.03690387700557787
98,管,0.03690387700557787
99,坚强有力,0.03690387700557787
100,努力,0.036589329941348066
101,新疆,0.03648373692668906
102,工委,0.03648373692668906
103,辅导员,0.03648373692668906
104,克拉玛依,0.03648373692668906
105,校区,0.03648373692668906
106,第八次,0.03648373692668906
107,石油大学,0.03648373692668906
108,银行,0.03648373692668906
109,管理,0.03475149609367793
110,带动,0.03475149609367793
111,制定,0.03475149609367793
112,改革,0.03475149609367793
113,抓好,0.03475149609367793
114,革命,0.03475149609367793
115,风险,0.03475149609367793
116,力量,0.034594938540189864
117,有效,0.034594938540189864
118,各类,0.03428079704827087
119,新型,0.03428079704827087
120,时期,0.03428079704827087
121,造成,0.03428079704827087
122,新华社,0.0338776695415714
123,选择,0.03312408525970013
124,十四五,0.03312408525970013
125,机关,0.03312408525970013
126,高标准,0.03312408525970013
127,一代,0.03312408525970013
128,着,0.03207446954453888
129,不能,0.03207446954453888
130,建议,0.03207446954453888
131,要求,0.03207446954453888
132,并,0.03201566369867956
133,出现,0.03145346430279624
134,把握,0.03145346430279624
135,十八,0.03145346430279624
136,改革开放,0.03145346430279624
137,导向,0.03145346430279624
138,经营,0.03133265707301684
139,所在,0.03133265707301684
140,道理,0.03133265707301684
141,茁壮成长,0.03133265707301684
142,回信,0.030035770534014912
143,法治,0.030035770534014912
144,之中,0.030035770534014912
145,发挥,0.029652804463019877
146,讲,0.029652804463019877
147,作为,0.029652804463019877
148,当前,0.029642960848874977
149,百年,0.02895958007806494
150,防控,0.02895958007806494
151,准备,0.02895958007806494
152,统一,0.02895958007806494
153,优势,0.02895958007806494
154,意见,0.02895958007806494
155,更大,0.02895958007806494
156,国有企业,0.027677907754183405
157,法规,0.027677907754183405
158,共青团,0.027677907754183405
159,红色,0.027677907754183405
160,西部,0.027677907754183405
161,增添,0.027677907754183405
162,表明,0.027677907754183405
163,开发,0.027677907754183405
164,日电,0.02744199745601105
165,特别,0.02744199745601105
166,需要,0.02744199745601105
167,严格,0.027424637638616696
168,才,0.027424637638616696
169,一系列,0.027424637638616696
170,成长,0.027424637638616696
171,应该,0.026728724620449066
172,同时,0.026728724620449066
173,具有,0.026728724620449066
174,同志,0.026728724620449066
175,环境,0.026728724620449066
176,主要,0.026728724620449066
177,治理,0.025408252156178552
178,奋斗,0.02516277144223699
179,成立,0.02516277144223699
180,十九,0.02516277144223699
181,活动,0.02516277144223699
182,做,0.02516277144223699
183,质量,0.02516277144223699
184,谋,0.024843063944775094
185,本领,0.024843063944775094
186,祝贺,0.024843063944775094
187,力,0.024843063944775094
188,收获,0.024843063944775094
189,包容,0.024843063944775094
190,融资,0.024843063944775094
191,严密,0.024843063944775094
192,开拓,0.024843063944775094
193,名,0.024843063944775094
194,视野,0.024843063944775094
195,干事,0.024843063944775094
196,互联互通,0.024843063944775094
197,千方百计,0.024843063944775094
198,优秀,0.024843063944775094
199,从严治党,0.024843063944775094
200,之,0.0247106703858499
201,机制,0.0247106703858499
202,从,0.0247106703858499
203,积极,0.0247106703858499
204,中共中央,0.0247106703858499
205,组织部门,0.02432249128445937
206,队旗,0.02432249128445937
207,中国少年先锋队,0.02432249128445937
208,年会,0.02432249128445937
209,工作岗位,0.02432249128445937
210,热爱人民,0.02432249128445937
211,热爱祖国,0.02432249128445937
212,守纪律,0.02432249128445937
213,及全,0.02432249128445937
214,生逢其,0.02432249128445937
215,最佳,0.02432249128445937
216,练,0.02432249128445937
217,能担,0.02432249128445937
218,奔赴,0.02432249128445937
219,用党,0.02432249128445937
220,预料,0.02432249128445937
221,切身体会,0.02432249128445937
222,预备队,0.02432249128445937
223,接班人,0.02432249128445937
224,投资银行,0.02432249128445937
225,用人,0.02432249128445937
226,磨练,0.02432249128445937
227,红领巾,0.02432249128445937
228,各族群众,0.02432249128445937
229,从小,0.02432249128445937
230,修,0.02432249128445937
231,朝气蓬勃,0.02432249128445937
232,万户,0.02432249128445937
233,贤良之士,0.02432249128445937
234,这届,0.02432249128445937
235,品行,0.02432249128445937
236,这所大,0.02432249128445937
237,大师,0.02432249128445937
238,教育部,0.02432249128445937
239,志存高远,0.02432249128445937
240,知识分子,0.02432249128445937
241,资,0.02432249128445937
242,边疆,0.02432249128445937
243,可堪大用,0.02432249128445937
244,全国代表大会,0.02432249128445937
245,国者,0.02432249128445937
246,高质量,0.023167664062451954
247,相关,0.023167664062451954
248,过,0.023167664062451954
249,引领,0.023167664062451954
250,服务,0.023167664062451954
251,主体,0.023167664062451954
252,健全,0.023167664062451954
253,实际,0.023167664062451954
254,根本,0.023167664062451954
255,水平,0.023167664062451954
256,记者,0.023167664062451954
257,担当,0.023167664062451954
258,很,0.023167664062451954
259,其中,0.023167664062451954
260,打,0.023167664062451954
261,才能,0.023167664062451954
262,人,0.022868331213342544
263,通过,0.022868331213342544
264,下,0.022868331213342544
265,政策,0.022868331213342544
266,工作者,0.022526827900511182
267,个人,0.022526827900511182
268,热烈,0.022526827900511182
269,勇于,0.022526827900511182
270,办好,0.022526827900511182
271,党的建设,0.022526827900511182
272,就要,0.022526827900511182
273,届,0.022526827900511182
274,循环,0.022526827900511182
275,基因,0.022526827900511182
276,起来,0.02138297969635925
277,面临,0.02138297969635925
278,培养,0.02138297969635925
279,存在,0.02138297969635925
280,强大,0.02138297969635925
281,这,0.02138297969635925
282,部署,0.02138297969635925
283,会议,0.02138297969635925
284,长期,0.02138297969635925
285,能够,0.02138297969635925
286,时,0.02138297969635925
287,时候,0.02138297969635925
288,各种,0.02138297969635925
289,提升,0.02138297969635925
290,这个,0.02138297969635925
291,自己,0.02138297969635925
292,第一,0.021173543463482124
293,促进,0.021173543463482124
294,就是,0.021173543463482124
295,概括,0.020888438048677894
296,有利条件,0.020888438048677894
297,最初,0.020888438048677894
298,选拔,0.020888438048677894
299,也好,0.020888438048677894
300,政商,0.020888438048677894
301,切实做好,0.020888438048677894
302,班子,0.020888438048677894
303,奋发有为,0.020888438048677894
304,组织生活,0.020888438048677894
305,基层组织,0.020888438048677894
306,国家机关,0.020888438048677894
307,公里,0.020888438048677894
308,不利,0.020888438048677894
309,新人,0.020888438048677894
310,共青团中央书记处,0.020888438048677894
311,政权,0.020888438048677894
312,致词,0.020888438048677894
313,采取有效,0.020888438048677894
314,肩负重任,0.020888438048677894
315,勇担,0.020888438048677894
316,信用,0.020888438048677894
317,毕业,0.020888438048677894
318,开幕会,0.020888438048677894
319,祖国,0.02056847822896252
320,及其,0.02056847822896252
321,至日,0.02056847822896252
322,共同努力,0.02056847822896252
323,激励,0.02056847822896252
324,负责,0.02056847822896252
325,广大党员,0.02056847822896252
326,调整,0.02056847822896252
327,打造,0.02056847822896252
328,履行,0.02056847822896252
329,中央军委,0.019768536308679918
330,任务,0.019768536308679918
331,进行,0.019768536308679918
332,用,0.019768536308679918
333,增强,0.019768536308679918
334,资源,0.019768536308679918
335,出来,0.019768536308679918
336,基础,0.019768536308679918
337,应对,0.019768536308679918
338,今天,0.019768536308679918
339,战胜,0.019768536308679918
340,个,0.019768536308679918
341,情怀,0.01887207858167774
342,得,0.01887207858167774
343,于,0.01887207858167774
344,胜利,0.01887207858167774
345,投资,0.01887207858167774
346,时刻,0.01887207858167774
347,深化,0.01887207858167774
348,直接,0.01887207858167774
349,不会,0.01887207858167774
350,弘扬,0.01887207858167774
351,活力,0.01887207858167774
352,决策,0.01887207858167774
353,列宁,0.018451938502788937
354,副,0.018451938502788937
355,近代,0.018451938502788937
356,志不求,0.018451938502788937
357,易者,0.018451938502788937
358,脚踏实地,0.018451938502788937
359,少,0.018451938502788937
360,创造力,0.018451938502788937
361,热爱,0.018451938502788937
362,明年,0.018451938502788937
363,提,0.018451938502788937
364,避难者,0.018451938502788937
365,履职,0.018451938502788937
366,重任,0.018451938502788937
367,建功立业,0.018451938502788937
368,书记,0.018451938502788937
369,听,0.018451938502788937
370,开幕,0.018451938502788937
371,蓬勃,0.018451938502788937
372,理想,0.018451938502788937
373,理事会,0.018451938502788937
374,党委,0.018451938502788937
375,民营,0.018451938502788937
376,表率,0.018451938502788937
377,普惠,0.018451938502788937
378,关,0.018451938502788937
379,跟党走,0.018451938502788937
380,作贡献,0.018451938502788937
381,守法,0.018451938502788937
382,精神风貌,0.018451938502788937
383,四中全会,0.018451938502788937
384,之谓,0.018451938502788937
385,公平竞争,0.018451938502788937
386,中共中央政治局,0.018451938502788937
387,不畏,0.018451938502788937
388,表示,0.018294664970674033
389,日,0.018294664970674033
390,挑战,0.018294664970674033
391,生活,0.018294664970674033
392,没有,0.018294664970674033
393,第四,0.018294664970674033
394,克服,0.017375748046838967
395,大会,0.017375748046838967
396,各项,0.017375748046838967
397,奋斗目标,0.017375748046838967
398,道路,0.017375748046838967
399,未来,0.017375748046838967
400,部门,0.017375748046838967
401,原则,0.017375748046838967
402,一起,0.017375748046838967
403,培育,0.017375748046838967
404,形势,0.017375748046838967
405,使命,0.017375748046838967
406,抗击,0.017375748046838967
407,格局,0.017375748046838967
408,抓,0.017375748046838967
409,人民日报,0.0169388347707857
410,落实,0.0169388347707857
411,版,0.0169388347707857
412,第三,0.0169388347707857
413,第二,0.0169388347707857
414,模式,0.016562042629850064
415,繁荣,0.016562042629850064
416,干部队伍,0.016562042629850064
417,平台,0.016562042629850064
418,扎根,0.016562042629850064
419,纾,0.016562042629850064
420,年底,0.016562042629850064
421,相,0.016562042629850064
422,艰难险阻,0.016562042629850064
423,港澳台,0.016562042629850064
424,伙伴,0.016562042629850064
425,资源配置,0.016562042629850064
426,队伍,0.016562042629850064
427,光荣,0.016562042629850064
428,会上,0.016562042629850064
429,两种,0.016562042629850064
430,充分体现,0.016562042629850064
431,一帆风顺,0.016562042629850064
432,万名,0.016562042629850064
433,物质,0.016562042629850064
434,里,0.016562042629850064
435,市场准入,0.016562042629850064
436,产权,0.016562042629850064
437,高举,0.016562042629850064
438,正常,0.016562042629850064
439,规则,0.016562042629850064
440,武器,0.016562042629850064
441,热情,0.016562042629850064
442,外资企业,0.016562042629850064
443,矢志,0.016562042629850064
444,竞争力,0.016562042629850064
445,功能,0.016562042629850064
446,即将,0.016562042629850064
447,得知,0.016562042629850064
448,一流,0.016562042629850064
449,问候,0.01603723477226944
450,始终,0.01603723477226944
451,贡献,0.01603723477226944
452,经历,0.01603723477226944
453,而,0.01603723477226944
454,共同体,0.01603723477226944
455,既,0.01603723477226944
456,让,0.01603723477226944
457,关键,0.01603723477226944
458,诚挚,0.01603723477226944
459,结合,0.01603723477226944
460,帮助,0.01603723477226944
461,发生,0.01603723477226944
462,一些,0.01603723477226944
463,措施,0.01603723477226944
464,会,0.01603723477226944
465,一,0.01603723477226944
466,集中统一,0.015017885267007456
467,认真贯彻,0.015017885267007456
468,多名,0.015017885267007456
469,发言,0.015017885267007456
470,建立健全,0.015017885267007456
471,营商,0.015017885267007456
472,在内,0.015017885267007456
473,区域合作,0.015017885267007456
474,机构,0.015017885267007456
475,双循环,0.015017885267007456
476,周围,0.015017885267007456
477,一大批,0.015017885267007456
478,不同,0.015017885267007456
479,女士们,0.015017885267007456
480,广大干部,0.015017885267007456
481,潜力,0.015017885267007456
482,各自,0.015017885267007456
483,典范,0.015017885267007456
484,争取,0.015017885267007456
485,建设者,0.015017885267007456
486,人生,0.015017885267007456
487,万个,0.015017885267007456
488,鲜明,0.015017885267007456
489,进步,0.015017885267007456
490,一直,0.015017885267007456
491,运行,0.015017885267007456
492,保,0.015017885267007456
493,严峻,0.015017885267007456
494,继续,0.014826402231509939
495,开展,0.014826402231509939
496,两个,0.014826402231509939
497,可,0.014826402231509939
498,取得,0.014826402231509939
499,这是,0.014826402231509939
500,科学,0.014826402231509939
501,地区,0.014826402231509939
502,命运,0.014826402231509939
503,指出,0.014826402231509939
504,持续,0.014826402231509939
505,致以,0.014826402231509939
506,技术,0.014826402231509939
507,行动,0.013720998728005526
508,后,0.013720998728005526
509,实施,0.013720998728005526
510,第一个,0.013712318819308348
511,有机,0.013712318819308348
512,科技,0.013712318819308348
513,按照,0.013712318819308348
514,党员,0.013712318819308348
515,征程,0.013712318819308348
516,矛盾,0.013712318819308348
517,朋友,0.013712318819308348
518,党和人民,0.013712318819308348
519,战斗力,0.013712318819308348
520,开启,0.013712318819308348
521,认真,0.013712318819308348
522,周年,0.013712318819308348
523,重要讲话,0.013712318819308348
524,传承,0.013712318819308348
525,锻炼,0.013712318819308348
526,追求,0.013712318819308348
527,赢,0.013712318819308348
528,遵循,0.013712318819308348
529,主义,0.013712318819308348
530,值此,0.013712318819308348
531,外部环境,0.013712318819308348
532,走,0.013712318819308348
533,夺取,0.013712318819308348
534,融入,0.013712318819308348
535,考虑,0.013712318819308348
536,专业,0.013712318819308348
537,这场,0.013712318819308348
538,政策措施,0.013712318819308348
539,展现出,0.013712318819308348
540,进程,0.013712318819308348
541,出席会议,0.013712318819308348
542,尽责,0.013712318819308348
543,艰巨,0.013712318819308348
544,有力,0.012704126078089276
545,但,0.012704126078089276
546,金融,0.012581385721118495
547,步伐,0.012581385721118495
548,社会各界,0.012581385721118495
549,鞠鹏,0.012581385721118495
550,民族,0.012581385721118495
551,产品,0.012581385721118495
552,形式,0.012581385721118495
553,十分,0.012581385721118495
554,调动,0.012581385721118495
555,什么,0.012581385721118495
556,进,0.012581385721118495
557,执政,0.012581385721118495
558,特点,0.012581385721118495
559,区域,0.012581385721118495
560,自觉,0.012581385721118495
561,强,0.012581385721118495
562,贸易,0.012581385721118495
563,针对性,0.012581385721118495
564,首先,0.012581385721118495
565,恢复,0.012581385721118495
566,依法,0.012581385721118495
567,未有,0.012581385721118495
568,学校,0.012581385721118495
569,党和国家,0.012581385721118495
570,几点,0.012581385721118495
571,发表,0.012581385721118495
572,大变局,0.012581385721118495
573,中央政治局,0.012581385721118495
574,作风,0.012581385721118495
575,大力,0.012581385721118495
576,共,0.012581385721118495
577,创造,0.012581385721118495
578,需求,0.012581385721118495
579,干,0.012581385721118495
580,出席,0.012581385721118495
581,前进,0.012581385721118495
582,开始,0.012581385721118495
583,负责同志,0.012581385721118495
584,座谈会,0.012581385721118495
585,经受,0.012581385721118495
586,以德,0.012161245642229685
587,二季度,0.012161245642229685
588,降息,0.012161245642229685
589,日新,0.012161245642229685
590,多来亚,0.012161245642229685
591,拔苗助长,0.012161245642229685
592,制定者,0.012161245642229685
593,摩擦,0.012161245642229685
594,开业,0.012161245642229685
595,贿赂,0.012161245642229685
596,配,0.012161245642229685
597,鄂豫皖,0.012161245642229685
598,首要条件,0.012161245642229685
599,首届,0.012161245642229685
600,首府,0.012161245642229685
601,健康成长,0.012161245642229685
602,听从,0.012161245642229685
603,直到,0.012161245642229685
604,第五届,0.012161245642229685
605,守约,0.012161245642229685
606,苏区,0.012161245642229685
607,光明磊落,0.012161245642229685
608,监督有力,0.012161245642229685
609,胆识,0.012161245642229685
610,筹建,0.012161245642229685
611,简政放权,0.012161245642229685
612,管党,0.012161245642229685
613,招生,0.012161245642229685
